,,,,,,,,,,,
,Description,Item,Usage Count,"Purchase
Quantity",Unit Price,Subtotal,"Price(HKD)
[$]","Price(RMB)
[$]",Price(USD) [$],Link,Additional description
,Electrical Components,,,,,,,,,,
,T-QT Pro ESP32-S3FN4R2 [H579],,1,1,$76.85,$76.85,$76.85,$66.39,$9.81,https://item.taobao.com/item.htm?abbucket=10&id=750447723873&mi_id=0000pU67ghemeILSTz1m68w8bAMYFI5vsWqyJ-w9N9Z0Bz4&ns=1&priceTId=2100c90117808574848043076e0d3e&skuId=5342732710962&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%225318bfa7b373f70e38363828653d528a%22%7D&xxc=taobaoSearch,
,902030 Lithium Battery 3.7V Polymer Cell 500mAh,,1,1,$11.34,$11.34,$11.34,$9.80,$1.45,https://item.taobao.com/item.htm?abbucket=10&id=765732865548&mi_id=0000PyNjh7_szULfxWR09bvEh-NmncvnzYCWuoGfGaoqoEI&ns=1&priceTId=2100c80717808576583803133e0ce8&skuId=5434279778849&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%2228a283e49f4a1d843462d70646981265%22%7D&xxc=taobaoSearch,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Total,,$88.19,$76.19,$11.26,,
